title,url,hhref,email,phone
ITWAVE,www.itwave.com.ua,https://hh.ua/employer/850071,set(),set()
iTwice,www.itwice.com,https://hh.ua/employer/1406757,{'contact@itwice.com'},set()
IT Woman,itwoman.com.ua,https://hh.ua/employer/1315147,{'ig-badge-view-sprite-24@2x.png'},set()
IT Workbench,www.it-workbench.com,https://hh.ua/employer/213057,set(),set()
IT компания The Studio,zstudio-irisproject.rhcloud.com,https://hh.ua/employer/2115570,set(),set()
IT Украина,itiaboratoriy.net,https://hh.ua/employer/1321576,set(),set()
Iv Design,www.iv.ua,https://hh.ua/employer/158862,{'info@iv.ua'},set()
iVira,ivira.info,https://hh.ua/employer/543824,set(),set()
Ivo Company,www.ru.all.biz,https://hh.ua/employer/1541029,set(),set()
IvZ Solutions,www.ivzsolutions.com,https://hh.ua/employer/1684538,"{'fRead-Paused-Scrn@2x.png', 'Home_Files_Empty-Scrn-Ver1.0@2x.png', 'fRead-Running-Scrn@2x.png'}",set()
IWD Agency,www.iwdagency.com,https://hh.ua/employer/1629319,set(),set()
iWEB Production,iwebproduction.com,https://hh.ua/employer/2181652,set(),set()
iWorks,www.iworks.com.ua,https://hh.ua/employer/618404,set(),set()
IXC,www.ixc.ua,https://hh.ua/employer/49714,set(),set()
Izum,izum.ua,https://hh.ua/employer/870625,set(),set()
IТЕМ,item.com.ua,https://hh.ua/employer/26489,set(),set()
J4 Group,www.job4writers.com,https://hh.ua/employer/2080744,{'mail@job4writers.com'},set()
Jabil Ukraine Ltd,www.jabil.com,https://hh.ua/employer/70257,set(),set()
jailbreak.com.ua,jailbreak.com.ua,https://hh.ua/employer/889557,set(),set()
James Hammon & Co,jameshammon.com.au,https://hh.ua/employer/1969986,set(),set()
