title,url,hhref,email,phone
SMM-агентство НаСтоле,www.nastole.pro,https://hh.ru/employer/3286421,{'nastole.pro@gmail.com'},set()
"SM & Partners, Группа компаний",smandpartners.ru,https://hh.ru/employer/147136,{'business@smandpartners.ru'},set()
Snaappy,www.snaappy.com,https://hh.ru/employer/2265349,{'support@snaappy.com'},set()
SNMG,www.sn-mg.ru,https://hh.ru/employer/637881,"{'info@sn-mg.ru', 'yury.zapesotsky@sn-mg.ru'}",set()
SNOW media,snow-media.ru,https://hh.ru/employer/1048926,{'info@snow-media.ru'},set()
Snow-web,www.snow-web.ru,https://hh.ru/employer/1452102,set(),set()
Social Link,sociallink.ru,https://hh.ru/employer/2673581,set(),set()
Social Media Holding,socialmediaholding.ru,https://hh.ru/employer/1669941,{'info@socialmediaholding.ru'},set()
Social Player (Базаров Евгений),www.socialplayer.ru,https://hh.ru/employer/1516433,set(),set()
SodaBox Media,www.sodabox.ru,https://hh.ru/employer/1550826,set(),set()
SoftCyclee,softcyclee.com,https://hh.ru/employer/1317374,set(),set()
SOFT EMPIRE,www.soft-empire.com,https://hh.ru/employer/1560254,set(),set()
Softgames Mobile Entertainment Services GmbH,www.softgames.de,https://hh.ru/employer/3005210,"{'Press@Softgames.com', 'press@softgames.com', 'help@softgames.de'}",set()
Softing,softing.pro,https://hh.ru/employer/2179727,{'support@masterhost.ru'},set()
Softline,www.softlinegroup.com,https://hh.ru/employer/2381,"{'info.colombia@softlinegroup.com', 'info@softline.tj', 'info@softline.tm', 'info.chile@softlinegroup.com', 'info@softline.mn', 'bilgi@softlinegroup.com', 'info.usa@softlinegroup.com', 'info@softline.kg', 'info.am@softlinegroup.com', 'info.brest@softlinegroup.com', 'info@softline.com.kh', 'info.costarica@softlinegroup.com', 'info.md@softlinegroup.com', 'info.mogilev@softlinegroup.com', 'info.vn@softlinegroup.com', 'info.vitebsk@softlinegroup.com', 'info@softline.hu', 'info.peru@softlinegroup.com', 'Info.india@softlinegroup.com', 'info@softline.my', 'info.by@softlinegroup.com', 'info.brasil@softlinegroup.com', 'info.thailand@softlinegroup.com', 'info.philippines@softlinegroup.com', 'info.kz@softlinegroup.com', 'info@softline.com.ge', 'Info.grodno@softlinegroup.com', 'info@softline.az', 'pr@softlinegroup.com', 'info.gomel@softlinegroup.com', 'info@softlinegroup.com', 'info.mm@softlinegroup.com', 'info@softline.uz', 'info.venezuela@softlinegroup.com', 'info.argentina@softlinegroup.com', 'info@softline.ro'}",set()
Soft Master,www.soft-m.ru,https://hh.ru/employer/97346,{'info@soft-m.ru'},set()
SoftMediaGroups,softmediagroups.com,https://hh.ru/employer/2645393,{'info@softmediagroups.com'},set()
Softplicity,www.coolutils.com,https://hh.ru/employer/2830575,set(),set()
Software AG,www.softwareag.com,https://hh.ru/employer/1366,set(),set()
Software Professional,www.kupaemsya.ru,https://hh.ru/employer/744558,set(),set()
S'OK Development,sok-games.com,https://hh.ru/employer/1701722,set(),set()
Solar-staff,www.solar-staff.com,https://hh.ru/employer/1653718,{'Rating@Mail.ru'},set()
SolidLab,www.solidlab.ru,https://hh.ru/employer/1464554,{'info@solidlab.ru'},set()
SolidWorks Russia,www.swrgroup.ru,https://hh.ru/employer/25048,set(),set()
Soltan,www.soltanbook.com,https://hh.ru/employer/1411281,set(),set()
Solutecs,www.solutecs.com,https://hh.ru/employer/18601,set(),set()
SOLUTION GROUP,solution-group.ru,https://hh.ru/employer/1915032,set(),set()
SOLUTIONS FACTORY,sf.ru,https://hh.ru/employer/2063560,set(),set()
