title,url,hhref,email,phone
Директ Вижн,www.directvision.ru,https://hh.ru/employer/563135,set(),set()
Директив,www.d-rective.ru,https://hh.ru/employer/639559,set(),set()
Директ Кредит,dc2b.ru,https://hh.ru/employer/902137,"{'hotline@dc2b.ru', 'online.help@direct-credit.ru', 'credit@dc2b.ru'}",set()
Директмакс,directmax.ru,https://hh.ru/employer/2062688,{'support@directmax.ru'},set()
"Директ-Медиа, Рекламное агентство",www.direct-media.ru,https://hh.ru/employer/726517,"{'hello@direct-media.ru', 'example@mail.ru'}",set()
Директ Менеджер,directmanager.ru,https://hh.ru/employer/1547718,{'mail@directmanager.ru'},set()
Директ-хэндс,d-hands.ru,https://hh.ru/employer/741175,set(),set()
Дирекчуал,directual.com,https://hh.ru/employer/2012185,{'team@directual.com'},set()
ДИС,www.roadis.ru,https://hh.ru/employer/1769221,set(),set()
Ди Си групп,www.dconst.ru,https://hh.ru/employer/1790108,set(),set()
Дискаунтер,diskaynter.ru,https://hh.ru/employer/923303,set(),set()
Дискаунтер,www.discounter-club.ru,https://hh.ru/employer/2612550,set(),set()
Дисконто,www.дисконто.рф,https://hh.ru/employer/2140437,set(),set()
Дисконт Телеком,www.discounttelecom.ru,https://hh.ru/employer/4427,"{'info@diskonttelecom.ru', 'info@westcall.ru', 'diskont@westcall.ru'}",set()
ДИСКУРС,kursnazakaz.ru,https://hh.ru/employer/3352416,{'Mardarovsky@diskurs-rus.com'},set()
Дистанция,www.tok24.ru,https://hh.ru/employer/936528,{'post@tok24.ru'},set()
ДИС ЭЛЕКТРОННЫЕ РЕШЕНИЯ,dis-electronics.ru,https://hh.ru/employer/1664148,"{'office@dis-electronics.ru', 'info@dis-electronics.ru'}",set()
ДИТ,www.dit.ru,https://hh.ru/employer/65257,"{'klimov@dit.ru', 'support@dit.ru'}",set()
ДИТА,www.ditadi.ru,https://hh.ru/employer/1403381,set(),set()
Дифивэй технологии,www.defeway.com,https://hh.ru/employer/2190215,set(),set()
ДиЭмЭй Рус,the-dma.ru,https://hh.ru/employer/1153970,{'info@the-dma.ru'},set()
ДиЭСДжи Консалт,dsgconsult.ru,https://hh.ru/employer/1810610,set(),set()
ДиЭсКон,www.dscon.ru,https://hh.ru/employer/797846,set(),set()
ДиЭсЭс,www.dssrus.ru,https://hh.ru/employer/1862082,set(),set()
Дкорса-Т,www.dkorsa.ru,https://hh.ru/employer/1895109,{'info@dkorsa.ru'},set()
ДК Центр,www.ediscom.ru,https://hh.ru/employer/3248548,"{'fsa@discom.net.ru', 'info@ediscom.ru', 'sale@ediscom.ru'}",set()
ДМА КЭПИТАЛ,dmacapital.ru,https://hh.ru/employer/2712641,set(),set()
ДМТ,www.dmtel.ru,https://hh.ru/employer/1042069,{'info@dmtel.ru'},set()
