title,url,hhref,email,phone
CMS4YOU,cms-for-you.ru,https://hh.ru/employer/1902345,set(),set()
CNTS - системная интеграция,www.cnts.ru,https://hh.ru/employer/225408,{'welcome@cnts.ru'},set()
Coach Me Free,CoachMeFree.Ru,https://hh.ru/employer/1561377,"{'maxfaiko@gmail.com', 'a.a.pritvorova@gmail.com', 'team@coachmefree.ru', 'iamehappy@gmail.com'}",set()
CodeGeek,www.code-geek.ru,https://hh.ru/employer/920066,{'job@code-geek.ru'},set()
Code Phobos,codephobos.com,https://hh.ru/employer/2820056,"{'kd@codephobos.com', 'hello@codephobos.com'}",set()
Cognitive Technologies,www.cognitive.ru,https://hh.ru/employer/2674,set(),set()
Colibri Systems,biletcolibri.ru,https://hh.ru/employer/910305,{'info@biletcolibri.ru'},set()
Comagic,www.comagic.ru,https://hh.ru/employer/2575750,set(),set()
COMDI.COM,www.comdi.com,https://hh.ru/employer/158255,set(),set()
Comedy Club,www.comedyclub.ru,https://hh.ru/employer/86635,{'press@comedyclub.ru'},set()
Commercial Simulation Systems,www.css.aero,https://hh.ru/employer/2044794,{'info@css.aero'},set()
Communications Equipment,www.commeq.ru,https://hh.ru/employer/194176,{'info@commeq.ru'},set()
CommuniGate Systems Russia,www.communigate.com,https://hh.ru/employer/1222579,set(),set()
Community International,www.intercommunity.ru,https://hh.ru/employer/189747,set(),set()
CommVault,www.commvault.com,https://hh.ru/employer/1830855,"{'ltignini@commvault.com', 'kharris@commvault.com'}",set()
Compensair LTD,www.compensair.com,https://hh.ru/employer/2777349,set(),set()
Competentum,www.competentum.com,https://hh.ru/employer/3239,{'roland.elgey@competentum.com'},set()
Complex Safety Alliance,www.complex-safety.com,https://hh.ru/employer/22050,{'info@complex-safety.com'},set()
Compo,compo.ru,https://hh.ru/employer/3041907,{'info@compo.ru'},set()
Component17,component17.com,https://hh.ru/employer/3132931,set(),set()
CompressPR,www.compresspr.ru,https://hh.ru/employer/24920,set(),set()
ComputerAge,www.computerage.ru,https://hh.ru/employer/5188,set(),set()
Convead,convead.ru,https://hh.ru/employer/1559883,"{'email@site.ru', 'hello@convead.io'}",set()
Convergent Media Group,convergent-usa.com,https://hh.ru/employer/57862,set(),set()
