title,url,hhref,email,phone
Виртуальные инфраструктуры,www.oblakoteka.ru,https://hh.ru/employer/1086494,"{'quality_control@oblakoteka.ru', 'oblakoteka@oblakoteka.ru', 'info@oblakoteka.ru', 'support@oblakoteka.ru', 'partners@oblakoteka.ru', 'marketing@oblakoteka.ru'}",set()
Виртуальные Решения,www.idamob.ru,https://hh.ru/employer/921335,set(),set()
Виртуальный океан,www.lava-online.ru,https://hh.ru/employer/58978,set(),set()
Виртуоз,sss.ru,https://hh.ru/employer/723544,set(),set()
ВИРТУ СИСТЕМС,www.virtusystems.ru,https://hh.ru/employer/1455438,"{'office@virtusystems.ru', 'info@virtusystems.ru'}",set()
ВИСИЭМ СОФТ,www.wcmsoft.com,https://hh.ru/employer/2205469,{'info@wcmsoft.com'},set()
ВИСТЛАН,www.vistlan.ru,https://hh.ru/employer/1074298,{'lan@vistlan.ru'},set()
ВИТ,www.vit-net.ru,https://hh.ru/employer/990641,set(),set()
Вита-Арт,www.seo-lab.su,https://hh.ru/employer/832726,set(),set()
Витал Идеал Солюшнс,v-i-s.org,https://hh.ru/employer/1596991,set(),set()
Виталинвест,www.vitinvest.com,https://hh.ru/employer/1117753,{'info@vitinvest.com'},set()
Витасофт,www.vtsft.ru,https://hh.ru/employer/106955,set(),set()
Витология,www.witology.com,https://hh.ru/employer/738669,{'info@witology.com'},set()
Вихаб (Vihub),www.vihub.ru,https://hh.ru/employer/1829983,{'contact@vihub.ru'},set()
Вихорев Александр Дмитриевич,vktarget.ru,https://hh.ru/employer/1230058,"{'support@likesman.com', 'mail@gmail.com', 'advers@vktarget.ru', 'users@vktarget.ru', 'vktarget@yandex.ru'}",set()
ВКУСОФ ЛАЙФ,www.vkusoflife.ru,https://hh.ru/employer/765810,set(),set()
ВК Электроникс,www.vke.su,https://hh.ru/employer/1105633,set(),set()
"Владис, НПЦ",www.eliteservice.ru,https://hh.ru/employer/64733,set(),set()
В-Люкс,www.vlux.ru,https://hh.ru/employer/9208,"{'vlux@vlux.ru', 'ks@vlux.ru'}",set()
ВМГ,wmgrus.ru,https://hh.ru/employer/1812836,set(),set()
ВМ онлайн,webmechanic.ru,https://hh.ru/employer/811710,"{'moscow@ra-wm.ru', 'astrakhan@ra-wm.ru', 'badwork@ra-wm.ru'}",set()
ВМЭкс,wmex.biz,https://hh.ru/employer/1324801,{'admin@wmex.biz'},set()
В Облаке,voblake.pro,https://hh.ru/employer/3134207,{'info@voblake.pro'},set()
Вобот,wobot.ru,https://hh.ru/employer/774745,{'mail@wobot.ru'},set()
Войс Групп,voicetelecom.org,https://hh.ru/employer/1506223,set(),set()
Вокзал,vokzal.ru,https://hh.ru/employer/3249263,"{'ik@vokzal.ru', 'info@vokzal.ru'}",set()
