title,url,hhref,email,phone
2K-Group,www.2kgroup.com,https://hh.ua/employer/70836,{'info@2kgroup.com'},set()
2Know Services,www.2knowservices.com,https://hh.ua/employer/2088693,set(),set()
2ГИС Харьков,info.2gis.ua,https://hh.ua/employer/2038883,"{'d.donov@2gis.ru', 'info@2gis.com.ua', 'al.kolpakov@2gis.ru'}",set()
2К МЕРЕЖА,www.2k.net.ua,https://hh.ua/employer/986501,set(),set()
360ДАТА,www.360data.com.ua,https://hh.ua/employer/1639975,set(),set()
3D DESIGN & STYLE,www.designsstyle.com,https://hh.ua/employer/1254717,{'stevenshaul@3d2050studio.com'},set()
3DDevice,3ddevice.com.ua,https://hh.ua/employer/1696003,{'info@3ddevice.com.ua'},set()
3DPrinteo Ltd,3dprinteo.com,https://hh.ua/employer/1998110,set(),set()
3D Source,3dsource.com,https://hh.ua/employer/3299523,{'sales@3dsource.com'},set()
3DTOUR,3dtour.com.ua,https://hh.ua/employer/608279,set(),set()
3D World Web Company,3dworld.com.ua,https://hh.ua/employer/1459660,{'office@studio3dworld.com'},set()
3E Киев,www.sketchup.com.ua,https://hh.ua/employer/3101610,{'sketchup.3e.kiev@gmail.com'},set()
3GSTAR,3gstar.ua,https://hh.ua/employer/721044,{'in@3gstar.com.ua'},set()
3 IT,3it.com.ua,https://hh.ua/employer/1812736,"{'info@bukweb.com', 'ajax-loader@2x.gif'}",set()
3Kol.tv,3kol.tv,https://hh.ua/employer/1859018,set(),set()
3NORN,3norn.com.ua,https://hh.ua/employer/1533719,set(),set()
3Shape Ukraine,www.3shape.com,https://hh.ua/employer/862544,set(),set()
3-БИТ,www.3-bit.ua,https://hh.ua/employer/1108435,set(),set()
482.solutions,482.solutions,https://hh.ua/employer/2492702,set(),set()
4A Games,www.4a-games.com,https://hh.ua/employer/1764943,set(),set()
4A Games Malta,www.4a-games.com.mt,https://hh.ua/employer/3338216,{'contact@4a-games.com.mt'},set()
4biz,4ua.biz,https://hh.ua/employer/1786316,set(),set()
4C,www.4-c.com.ua,https://hh.ua/employer/2747011,{'u-0c961aa2dfef407ca364db1a4c9359a8@2x.png'},set()
4K-SOFT,4k.com.ua,https://hh.ua/employer/1358580,{'office@4k.com.ua'},set()
4Sync,www.4sync.com,https://hh.ua/employer/2080850,"{'purchase@4sync.com', 'paypal@4sync.com', 'privacy@4sync.com'}",set()
