title,url,hhref,email,phone
Astwellsoft,astwellsoft.com,https://hh.ua/employer/1879651,set(),set()
ASUSTeK Computer Inc.,www.asus.ua,https://hh.ua/employer/13913,set(),set()
Atlasiko,atlasiko.com,https://hh.ua/employer/3195523,{'sales@atlasiko.com'},set()
Atola Technology,atola.com,https://hh.ua/employer/809451,set(),set()
AtomPark Software Inc,www.atompark.com,https://hh.ua/employer/627617,set(),set()
ATOS IT SERVICES,WWW.PL.ATOS.NET,https://hh.ua/employer/1420892,set(),set()
Atrium-DD,atrium-dd.com,https://hh.ua/employer/3085104,set(),set()
Attendify,www.Attendify.com,https://hh.ua/employer/1472417,{'support@attendify.com'},set()
Attic Lab,attic.it.lab@gmail.com,https://hh.ua/employer/2352191,set(),set()
Atto Trading Technologies LLC,atto-trading.com,https://hh.ua/employer/844302,"{'web@attocapital.com', 'info@attocapital.com'}",set()
Attract Group,attractgroup.com,https://hh.ua/employer/780752,{'sales@attractgroup.com'},set()
ATWeb,sildesign.ru,https://hh.ua/employer/1137811,"{'hi@sildesign.ru', 'odessa@sil-design.ru', 'hi@sil-design.ru', 'odessa@sildesign.ru'}",set()
Auditdata Ukraine LLC,www.auditdata.com,https://hh.ua/employer/2704863,{'info@auditdata.com'},set()
AUREA VISION,aurea-vision.com,https://hh.ua/employer/1168838,set(),set()
Aurora Technologies,www.auroratechnologies.com.ua,https://hh.ua/employer/912810,"{'office@auroratechnologies.com.ua', 'hr@auroratechnologies.com.ua'}",set()
Auspex,auspex.com.ua,https://hh.ua/employer/1836531,"{'info@new.auspex.com.ua', 'info@auspex.com.ua'}",set()
Australian Group,australiangroup.org,https://hh.ua/employer/1782066,set(),set()
AUTOFOTO,www.autofoto.com.ua,https://hh.ua/employer/853997,{'jurtransavto@gmail.com'},set()
Autoline,autoline.com.ua,https://hh.ua/employer/1816699,{'0a7484347c1b4e35b5f5df17b0271bab@sentry.z-ns.net'},set()
Automarekter,mesme.automarketer.me,https://hh.ua/employer/2843000,"{'bot@automarketer.me', 'info@automarketer.me'}",set()
Auto Time,www.autotime.com.ua,https://hh.ua/employer/2390275,set(),set()
AVA,ava.ua,https://hh.ua/employer/668802,"{'support@ava.ua', 'partner@ava.ua'}",set()
Avalanche Laboratory,www.avalanchelabs.ee,https://hh.ua/employer/3425556,{'info@avalanchelabs.ee'},set()
Avalis,www.avalis.com.ua,https://hh.ua/employer/1681194,set(),set()
Avalon Fund Aktiv,www.avalonfundaktiv.com,https://hh.ua/employer/2285563,set(),set()
Avantize,avantize.com,https://hh.ua/employer/3360641,set(),set()
Avarla,www.avarla.com,https://hh.ua/employer/1413390,set(),set()
Aventures Capital,aventurescapital.com,https://hh.ua/employer/893664,{'hello@aventurescapital.co'},set()
