title,url,hhref,email,phone
HDI-dune,www.dune.ua,https://hh.ua/employer/856018,set(),set()
HeadHunter::Украина (hh.ua),hh.ua,https://hh.ua/employer/9144,set(),set()
HeadHunter::Украина (hh.ua),hh.ua,https://hh.ua/employer/666540,set(),set()
HealthJoy,www.healthjoy.com,https://hh.ua/employer/1998150,"{'username@example.com', 'cropped-Icon-72@2x-180x180.png', 'cropped-Icon-72@2x-32x32.png', 'Icon-72@2x.png', 'support@healthjoy.com', 'Icon@2x.png', 'cropped-Icon-72@2x-192x192.png', 'cropped-Icon-72@2x-270x270.png'}",set()
Heart beat Games,heartbeat-games.com,https://hh.ua/employer/2681112,set(),set()
Helios Technologies,heliostech.hk,https://hh.ua/employer/1067114,set(),set()
HelpCrunch,helpcrunch.com,https://hh.ua/employer/3184284,"{'info@helpcrunch.com', '39022d9c219c4eba99447b502be40908@sentry.io'}",set()
Helprace,helprace.com,https://hh.ua/employer/1688334,"{'happiness@2x.png', 'following@2x.png', 'collision-detection@2x.png', 'merge-topics@2x.png', 'user-profile@2x.png', 'user-feedback@2x.png', 'ticket-tags@2x.png', 'ticket-assignment@2x.png', 'developers-api@2x.png', 'voting-options@2x.png', 'languages@2x.png', 'productivity@2x.png', 'moderation@2x.png', 'activity-stream@2x.png', 'satisfaction@2x.png', 'community2@2x.png', 'busiest-time-of-day@2x.png', 'customizable-voting@2x.png', 'previous-interactions@2x.png', 'sharing@2x.png', 'response-time@2x.png', 'actions-on-behalf@2x.png', 'sharing-b@2x.png', 'profile-notes@2x.png', 'header-image-ideas@2x.png', 'header-image-reports-tickets@2x.png', 'topic-view@2x.png', 'header-image-reports-team@2x.png', 'smart-suggestions-customers@2x.png', 'contact-cloud@2x.png', 'style-guide@2x.png', 'triggers@2x.png', 'kb@2x.png', 'reminder@2x.png', 'community3@2x.png', 'community-praise@2x.png', 'discussions@2x.png', 'community-problems@2x.png', 'first-response-time@2x.png', 'automations@2x.png', 'community-questions@2x.png', 'article-usefulness-rating@2x.png', 'webhooks@2x.png', 'voting-b@2x.png', 'status@2x.png', 'custom-domain@2x.png', 'sales@helprace.com', 'tags@2x.png', 'sidebar-app@2x.png', 'team@2x.png', 'spaces@2x.png', 'best-reply@2x.png', 'header-image-community@2x.png', 'related-topics@2x.png', 'macros@2x.png', 'customer-profiles@2x.png', 'works-on-all-devices@2x.png', 'ticket@2x.png', 'default-ticket-action@2x.png', 'smart-suggestions-agents@2x.png', 'tickets@2x.png', 'saved-replies-b@2x.png', 'agent-collision-detection@2x.gif', 'multiple-products@2x.png', 'voting@2x.png', 'related-articles@2x.png', 'change-layout@2x.png', 'community1@2x.png', 'header-image-ticket@2x.png', 'email-commands@2x.png', 'custom-apps@2x.png', 'header-image-tickets-list@2x.png', 'ticket-assignment-b@2x.png', 'internal-notes@2x.png', 'saved-replies@2x.png', 'header-image-question-page@2x.png', 'private-community@2x.png', 'dont-hold-back@2x.png', 'community-updates@2x.png', 'topic-linking@2x.png', 'smart-filters@2x.png', 'ticket-activity-log@2x.png', 'community-ideas@2x.png', 'header-image-admin@2x.png'}",set()
Hetman Software,hetmanrecovery.com,https://hh.ua/employer/1599362,"{'sales@hetmanrecovery.com', 'support_uk@hetmanrecovery.com', 'support_ru@hetmanrecovery.com', 'support_en@hetmanrecovery.com'}",set()
Hey Day,hey-day.com.ua,https://hh.ua/employer/1538798,set(),set()
Heyllow,www.heyllow.com,https://hh.ua/employer/1962977,set(),set()
Hey ML,www.facebook.com,https://hh.ua/employer/2636527,"{'John@example.com', 'Emily@example.com', 'Helena@example.com'}",set()
HHS Technology Group,www.hhstechgroup.com,https://hh.ua/employer/106370,"{'logo-main-update@2x.png', 'info@hhstechgroup.com', 'logo-white@2x-1.png'}",set()
Highbrow,gohighbrow.com,https://hh.ua/employer/2388145,set(),set()
Hilditönn,hilditonn.com,https://hh.ua/employer/1411543,set(),set()
HireUkrainians,hireukrainians.com.ua,https://hh.ua/employer/1487996,{'hello@hireukrainians.com'},set()
Hitech Advertisement,hta.com.ua,https://hh.ua/employer/672040,set(),set()
"Hi-Tech.com.ua, Интернет-магазин",www.hi-tech.com.ua,https://hh.ua/employer/902106,set(),set()
HitTail Inc.,www.hittail.com,https://hh.ua/employer/2352548,"{'service@hittail.com', 'you@example.com', 'your@mail.com'}",set()
HMS hotel,otelms.com,https://hh.ua/employer/1884262,set(),set()
Hola Ola Travel,holaola.travel,https://hh.ua/employer/872315,set(),set()
HolbiGroup,www.holbi.co.uk,https://hh.ua/employer/911148,{'info@holbi.co.uk'},set()
Home Cinema,www.homecinema.ua,https://hh.ua/employer/1292182,set(),set()
Homer,www.homer.in.ua,https://hh.ua/employer/1511032,set(),set()
Homer Software House,www.homer.com.ua,https://hh.ua/employer/119962,{'hr@homer.com.ua'},set()
Homsters,homsters.com,https://hh.ua/employer/1327921,set(),set()
