title,url,hhref,email,phone
WonderKiD Studio,wonderkidstudio.com,https://hh.ua/employer/1308365,set(),set()
WONDERLAND,wonderland-games.com,https://hh.ua/employer/3335942,set(),set()
Workabox,workabox.ua,https://hh.ua/employer/2087541,"{'info@workabox.ua', 'support@workabox.ua'}",set()
WorkLay,worklay.biz,https://hh.ua/employer/1998377,{'info@worklay.biz'},set()
WORKMASTER,workmaster.com.ua,https://hh.ua/employer/1451276,{'info@workmaster.com.ua'},set()
Workrocks,workrocks.ua,https://hh.ua/employer/847163,set(),set()
Worksection,worksection.ua,https://hh.ua/employer/2548111,set(),set()
Worldcall,www.worldcall.be,https://hh.ua/employer/563926,set(),set()
World life press,wlpress.net,https://hh.ua/employer/2058951,set(),set()
WorldWebStudio,www.worldwebstudio.com,https://hh.ua/employer/151806,set(),set()
Wow-How,www.wow-how.com,https://hh.ua/employer/1722716,{'info@wow-how.com'},set()
Wow HTML,wowhtml.com,https://hh.ua/employer/1785422,set(),set()
WOXAPP,www.woxapp.com,https://hh.ua/employer/1711909,{'mail@woxapp.com'},set()
"Woxed (Якушенков В.В., ФОП)",woxed.net,https://hh.ua/employer/1605323,{'example@site.com'},set()
ws123.net,ws123.net,https://hh.ua/employer/238570,set(),set()
WSM,wsmintl.com,https://hh.ua/employer/888224,"{'accounting@wsmintl.com', 'Artboard-2@2000x-100.jpg', 'sales@wsmintl.com', 'Artboard-2@2000x-100-100x50.jpg', 'support@wsmintl.com'}",set()
WWA,wwa.rv.ua,https://hh.ua/employer/2213157,set(),set()
ww-cnc technology,www.ww-cnc.com,https://hh.ua/employer/781724,set(),set()
www.mashyna.com.ua — Український автомобільний ресурс,www.mashyna.com.ua,https://hh.ua/employer/1940299,{'info@mashyna.com.ua'},set()
X7Lab,x7lab.com,https://hh.ua/employer/3015821,"{'1@2x.jpg', 'X7Lab.adm@gmail.com'}",set()
X-CITY,x-city.ua,https://hh.ua/employer/2584323,"{'callcenter@x-city.ua', 'resume@x-city.ua'}",set()
"Xedex Group, digital agency",xedex.org,https://hh.ua/employer/1769639,set(),set()
XELENTEC,www.xelentec.com,https://hh.ua/employer/3311018,{'xelentec@gmail.com'},set()
X.net,isp.od.ua,https://hh.ua/employer/21319,{'of1ce@isp.od.ua'},set()
XOR design studio,xor.com.ua,https://hh.ua/employer/1517011,{'pochta@xor.com.ua'},set()
Xpand,www.xpand.com.ua,https://hh.ua/employer/1136390,set(),set()
