A-SITE.by,http://a-site.by/,"{'design@a-site.by', 'support@a-site.by', 'info@a-site.by', 'seo@a-site.by'}",set()
A1QA,http://a1qa.by,{'job@a1qa.com'},set()
Abiatec,http://abiatec.by/,{'info@abiatec.com'},set()
ABKonDevelop,http://abkon-develop.com,{'info@abkon-develop.by'},set()
Absolut Internet Systems,http://abis.by,"{'info@abis.by', 'kl_Anti_Targeted_Attack_black_icon@2x-145x145.png', 'kl_Virtualization_Security_black_icon@2x-145x145.png'}",set()
ABW.BY,http://abw.by,"{'reklama@abw.by', 'support@abw.by', 'dolmatov@abw.by', 'yandex-map-container-info@uaz-center.by', 'v.shamal@abw.by', 'info@uaz-center.by', 'web@abw.by', 'yandex-map-info@uaz-center.by'}",set()
Acantek Solutions Ltd.,http://acantek.com/,"{'sales@acantek.com', 'fly_611@bk.ru'}",set()
Acarica,http://acarica.com,{'hello@acarica.com'},set()
title,url,email,phone
B2B-Center,http://www.b2b-center.ru/,"{'fp@b2b-center.ru', '517f75de82264e228c69a17cfccb6ed0@raven.b2b-center.ru', 'a.zadorozhnyi@b2b-center.ru', 'info@b2b-center.ru', 'media@b2b-center.ru', 'e-pay@b2b-center.ru', 'jobs@b2b-center.ru', 's.sborshchikov@b2b-center.ru'}",set()
BA Solutions,http://basolutions.by/,set(),set()
Bamboo Apps,https://bambooapps.eu/,"{'contact@bamboogroup.eu', 'support@bamboogroup.eu', 'contact@bambooapps.eu'}",set()
Bamboo Group,http://bamboogroup.eu/,{'contact@bamboogroup.eu'},set()
Bank&Soft Innovation,http://www.basi.by,{'info@basi.by'},set()
Banuba Development,https://banuba.com,"{'legal@banuba.com', 'nicola@2x.png', 'camera-first@2x.png', 'mojicam@2x.png', 'phone-with-mask@2x.png', 'banuba@2x.png', 'support@banuba.com', 'nicola-app@2x.png'}",set()
Baseline marketing,http://bl.agency/,set(),set()
"BayQaTraining, Inc",http://bayqatraining.com/,{'info@codefitness.us'},set()
BearDev,http://www.beardev.com,set(),set()
BeatDev,http://beatdev.by,set(),set()
BelAbat,http://www.belabat.org,set(),set()
BelaBios IOOO,http://www.belabios.com,{'info@belabios.com'},set()
Belatragames,http://belatragames.com,"{'belarus@belatra.com', 'office@belatra.com'}",set()
BELHARD,http://www.belhard.com,{'info@belhard.com'},set()
Beliani,https://www.beliani.ch,set(),set()
BelitSoft,http://www.belitsoft.com,{'info@belitsoft.com'},set()
Belka Games,http://belka-games.com/,set(),set()
BelPrime,http://www.belprime.com,set(),set()
BelVG,http://www.belvg.com,"{'alex@belvg.com', 'store@belvg.com', 'vitaly@belvg.com', 'contact@belvg.com', 'dfeduleev@belvg.com'}",set()
BESK,https://besk.com,{'hello@besk.com'},set()
Bevalex,http://www.bevalex.by,"{'info@bevalex.by', 'service@bevalex.by'}",set()
BG Soft,http://bgsoft.biz,{'hr@bgsoft.biz'},set()
Big Data Technologies,https://bdtech.by/,set(),set()
Biggico,http://biggico.com,"{'el@biggico.com', 'info@biggico.com'}",set()
BIM Machine,http://www.bim-machine.com,set(),set()
Bimium,http://bimium.com,{'info@bimium.com'},set()
BinaryLabs,http://www.binarylabs.eu,set(),set()
Binatomic,http://binatomic.by,set(),set()
BioSoftTrade,http://biosofttrade.com,set(),set()
Bit-Apps,http://www.bit-apps.com,set(),set()
BitNet,http://bitnet.by,{'info@bitnet.by'},set()
BitSol IT Solutions,http://bitsol.org,{'info@bitsol.org'},set()
BitTorrent BLR,http://www.bittorrent.com/company/about/objective_c_minsk,{'legal@bittorrent.com'},set()
BKsoft,http://www.bettingpromotion.com/,{'john.smith@example.com'},set()
Black Beacon,http://black-beacon.com/,set(),set()
BLAKIT,http://blak-it.com,{'info@blak-it.com'},set()
BldSoft,http://www.bldsoft.com,set(),set()
Bobaka,http://bobaka.ru,{'info@bobaka.ru'},set()
