title,url,hhref,email,phone
GLOBAL D GROUP LTD,global-edu.com.ua,https://hh.ua/employer/2600362,set(),set()
Global Fleet Management,www.positrace.com,https://hh.ua/employer/1688276,set(),set()
Global international est. Kuwait.,www.globalintlkw.com,https://hh.ua/employer/2689768,set(),set()
Global IT Service,www.global-it-service.com.ua,https://hh.ua/employer/612331,set(),set()
GlobalLogic Ukraine,www.globallogic.com,https://hh.ua/employer/58385,set(),set()
Global Marketing Group,gmarkg.com,https://hh.ua/employer/3362152,set(),set()
GlobalMusic (ФЛП Калиниченко В.Н.),globalmusic.com.ua,https://hh.ua/employer/1583075,"{'market@globalmusic.com.ua', 'market@soundcase.com.ua'}",set()
GlobalNet,globalnet.in.ua,https://hh.ua/employer/2523744,set(),set()
GlobalSoft,globalsoft.kiev.ua,https://hh.ua/employer/1341829,set(),set()
Global Software Applications,gsapps.com,https://hh.ua/employer/1730912,{'support@gsapps.com'},set()
Globitel,www.globitel.pl,https://hh.ua/employer/1905020,"{'grzegorz.kumor@globitel.pl', 'anna.baldys@globitel.pl', 'jaroslaw.urbaniak@globitel.pl', 'jacek.janik@globitel.pl', 'grzegorz.wlodarczyk@globitel.pl', 'dys@globitel.pl', 'elzbieta.nazim@globitel.pl', 'maciej.malinowski@globitel.pl', 'rachid.boukhiar@globitel.pl', 'izabela.wezyk@globitel.pl', 'lukasz.ostrowski@globitel.pl', 'renata.kowalska@globitel.pl', 'tomasz.slomski@globitel.pl', 'sylwester.blicharski@globitel.pl', 'hanna.rydz@globitel.pl', 'noc@globitel.pl', 'wojciech.kowzan@globitel.pl', 'biuro@globitel.pl', 'windykacja@globitel.pl', 'katarzyna.grzelak@globitel.pl', 'bohdan.nazim@globitel.pl', 'lukasz.granat@globitel.pl', 'piotr.wojtera@globitel.pl', 'andrzej.lenort@globitel.pl'}",set()
Glooni.com,glooni.com,https://hh.ua/employer/2085829,set(),set()
Glorium Technologies,gloriumtech.com,https://hh.ua/employer/2024095,{'contact@gloriumtech.com'},set()
GLORY,gloryad.net,https://hh.ua/employer/1308697,{'ads@gloryad.net'},set()
GloryPixel,work.glorypixel.ua,https://hh.ua/employer/1574645,{'work@glorypixel.ua'},set()
GMhost,gmhost.com.ua,https://hh.ua/employer/1999477,set(),set()
GMS,www.gms-worldwide.com,https://hh.ua/employer/581222,"{'dataprotection@gms-worldwide.com', 'info@gms-worldwide.com'}",set()
GMS Service,www.gms.com.ua,https://hh.ua/employer/1081876,set(),set()
GNC Consulting,www.gnc-consulting.com,https://hh.ua/employer/154248,{'info@gnc-consulting.com'},set()
GNS,gns-it.com,https://hh.ua/employer/1626569,set(),set()
GO2.ua,go2.ua,https://hh.ua/employer/1091181,set(),set()
GODO,www.godocoworking.com,https://hh.ua/employer/1497957,set(),set()
GoFriends,gofriends.pro,https://hh.ua/employer/3165548,set(),set()
GoGMAT.com,GoGMAT.com,https://hh.ua/employer/1779541,"{'support@gogmat.com', 'vk@gogmat.com'}",set()
