title,url,hhref,email,phone
Парфененко Д.А.,www.avtorsoft.com,https://jobs.tut.by/employer/877615,set(),set()
Первышин А.В.,ap-studio.by,https://jobs.tut.by/employer/2763719,{'info@webprofi.me'},set()
Персональные интерактивные коммуникации,persik.by,https://jobs.tut.by/employer/1034187,"{'info@persik.by', 'head@persik.by', 'b2b@persik.tv'}",set()
Пи-консалт бай,www.pi-consult.by,https://jobs.tut.by/employer/2234130,{'info2000k@pi-consult.by'},set()
ПикселПлекс,pixelplex.by,https://jobs.tut.by/employer/764149,{'info@pixelplex.by'},set()
ПИКСОЛИО,www.pixolio.by,https://jobs.tut.by/employer/1244623,set(),set()
Пиплос Медиа,piplos.by,https://jobs.tut.by/employer/1443153,{'info@piplos.by'},set()
ПитерзГарден,call-tracking.by,https://jobs.tut.by/employer/1575024,"{'info@call-tracking.by', 'alexander@call-tracking.by'}",set()
Платонов В.В.,livehtml.io,https://jobs.tut.by/employer/1664922,set(),set()
"Плэйтика Бел, ИООО",playtika.com,https://jobs.tut.by/employer/1105861,set(),set()
ПМиС-Софтпродукт,pms-software.com,https://jobs.tut.by/employer/1110182,{'info@pms-software.com'},set()
Поддержка мечты,dreamsupport.io,https://jobs.tut.by/employer/2737510,set(),set()
Пожарицкий Н.С,alfa-mg.com,https://jobs.tut.by/employer/2444253,"{'clients@alfa-mg.com', 'order@alfa-mg.com'}",set()
Пользовательские интерфейсы,uex.by,https://jobs.tut.by/employer/1977177,{'info@uex.by'},set()
Полянский К.Г,www.uprise.by,https://jobs.tut.by/employer/1832766,"{'info@uprise.by', 'mail@uprise.by'}",set()
Портал КУ,kyky.org,https://jobs.tut.by/employer/1034043,{'kyky@kyky.org'},set()
Портал цен,pulscen.by,https://jobs.tut.by/employer/975485,{'Rating@Mail.ru'},set()
ПОСПЕКС,simmakers.ru,https://jobs.tut.by/employer/951277,{'simmakers@yandex.ru'},set()
Потапов Д.А.,nambawan.by,https://jobs.tut.by/employer/2565710,{'hello@nambawan.by'},set()
Починчик А.В.,tiangle.tk,https://jobs.tut.by/employer/3247678,set(),set()
ПРАС,pras.company,https://jobs.tut.by/employer/3147501,"{'list@pras.by', 'pismo@pras.by', 'laiskas@pras.by'}",set()
Предизо,www.truemachina.com,https://jobs.tut.by/employer/1402379,set(),set()
"Представительство Net Games Laboratory Limited (Гонконг, КНР) в Республике Беларусь",clrgame.com,https://jobs.tut.by/employer/1102039,set(),set()
