title,url,hhref,email,phone
Дорифор,www.dorifor.ru,https://hh.ru/employer/663344,{'info@dorifor.ru'},set()
ДОТВОРКС,dot.works,https://hh.ru/employer/1974422,{'info@dot.works'},set()
Дотком,dotcom24.ru,https://hh.ru/employer/2163537,set(),set()
ДотОрг,www.dotorg.ru,https://hh.ru/employer/981278,{'info@dotorg.ru'},set()
ДПГруп,dpgrup.ru,https://hh.ru/employer/562533,set(),set()
ДПИ- компьютерс,www.dpi.ru,https://hh.ru/employer/10335,set(),set()
Д-проджект,di-project.ru,https://hh.ru/employer/633500,{'info@di-project.ru'},set()
ДПС Групп,dps.io,https://hh.ru/employer/833489,set(),set()
ДРАГОН Сервис,www.dragon-service.ru,https://hh.ru/employer/1475971,"{'support.1c@dragon-group.ru', 'info@dragon-group.ru'}",set()
Драйв,www.drive.ru,https://hh.ru/employer/1642981,"{'support@drive2.ru', 'Rating@Mail.ru', 'clients@drive.ru'}",set()
Драйверсклуб,Драйверсклуб.рф,https://hh.ru/employer/2728004,set(),set()
Драйвкред,www.drivecred.com,https://hh.ru/employer/2653907,set(),set()
Драйв Сити,live-seo.ru,https://hh.ru/employer/603061,"{'manager@beget.ru', 'bills@beget.ru', 'support@beget.ru', 'info@beget.ru', 'clients@beget.ru'}",set()
Дремов Денис,uprise.cc,https://hh.ru/employer/1652425,set(),set()
"Дриада, ТК",www.bitunit.ru,https://hh.ru/employer/716912,"{'--Rating@Mail.ru', 'info@bitunit.ru', 'Rating@Mail.ru'}",set()
ДРИМБЮРО,www.dreamburo.ru,https://hh.ru/employer/717657,set(),set()
Дрим Девелопмент Студио,www.gde-edim.ru,https://hh.ru/employer/2511018,{'pochta@gmail.com'},set()
Дрим-Консалт,dream-crm.ru,https://hh.ru/employer/1197304,set(),set()
Дрим-Тех,dreamteh.com,https://hh.ru/employer/2496790,set(),set()
Дрим Тим,webdreamteam.ru,https://hh.ru/employer/1452490,{'info@company24.com'},set()
Дримхэдс,www.dreamheads.ru,https://hh.ru/employer/1511285,{'info@dreamheads.ru'},set()
Дром.ру,drom.ru,https://hh.ru/employer/842098,"{'patriot2017@2x.jpg', 'vesta_cross@2x.jpg', 'tiguan@2x.jpg', 'kaptur@2x.jpg', 'solaris2017@2x.jpg'}",set()
Дроп Ап,www.dropup.ru,https://hh.ru/employer/1545044,set(),set()
"Дружественный Рунет, Фонд Содействие развитию сети Интернет",www.friendlyrunet.ru,https://hh.ru/employer/725823,"{'charter2010@friendlyrunet.ru', 'info@FriendlyRunet.ru'}",set()
ДС 1331,1331.ru,https://hh.ru/employer/1070894,"{'zakaz@1331.ru', 'transport@1331.ru', 'nf@1331.ru'}",set()
ДС-Связь,www.dals.ru,https://hh.ru/employer/2359477,set(),set()
