title,url,Телефон:,Email:,Facebook:,LinkedIn:,hhref
Производственная компания Борец,,set(),set(),,,https://moikrug.ru/companies/181199314
Вокруг Света,,set(),set(),,,https://moikrug.ru/companies/181250298
Группа МИГ,,set(),set(),,,https://moikrug.ru/companies/182086920
Нейрон,,set(),set(),,,https://moikrug.ru/companies/182196324
ACURIS,,set(),set(),,,https://moikrug.ru/companies/182203493
ФКЦ Земля,,set(),set(),,,https://moikrug.ru/companies/182347267
Студия 3W,,set(),set(),,,https://moikrug.ru/companies/182390059
Wikimedia Foundation,,set(),set(),,,https://moikrug.ru/companies/182410202
Центр недвижимости,,set(),set(),,,https://moikrug.ru/companies/182504510
Вибро-резонансные технологии (НПП ВРТ),,set(),set(),,,https://moikrug.ru/companies/183120878
Кадровая биржа,,set(),set(),,,https://moikrug.ru/companies/183168487
WeSEE,,set(),set(),,,https://moikrug.ru/companies/183186165
Медисонт,,set(),set(),,,https://moikrug.ru/companies/183340787
Амадей,,set(),set(),,,https://moikrug.ru/companies/183508841
Международный Банк Развития,,set(),set(),,,https://moikrug.ru/companies/183539491
Бюро переводов Метафора,,set(),set(),,,https://moikrug.ru/companies/183586229
"сеть торговых центров ""ТВОЙ ДОМ""",,set(),set(),,,https://moikrug.ru/companies/183738195
МВД Украины,,set(),set(),,,https://moikrug.ru/companies/184066068
Newinttech,,set(),set(),,,https://moikrug.ru/companies/184422962
Криворожский государственный педагогический университет (КГПУ),,set(),set(),,,https://moikrug.ru/companies/184527169
Национальная библиотека Беларуси,,set(),set(),,,https://moikrug.ru/companies/184866157
Омск-Полимер,,set(),set(),,,https://moikrug.ru/companies/184918735
Региональный центр развития коучинга,,set(),set(),,,https://moikrug.ru/companies/185109701
Уральский завод Промэлектроники,,set(),set(),,,https://moikrug.ru/companies/185584838
Columbus Russia,columbusglobal.com/ru-ru,+7 (495) 369-67-69,nama@columbusglobal.com,ColumbusITRu,,https://moikrug.ru/companies/columbus
