title,url,Телефон:,Email:,Facebook:,LinkedIn:,hhref
Смарт Тим Сервис,,set(),set(),,,https://moikrug.ru/companies/323670501
"ИТ ""ИнтерВебс""",,set(),set(),,,https://moikrug.ru/companies/323907215
Дексиа Банк,,set(),set(),,,https://moikrug.ru/companies/323953988
Citia BTC,,set(),set(),,,https://moikrug.ru/companies/324218168
"Агентство Недвижимости ""АТЛАНТА"" г.Керчь",,set(),set(),,,https://moikrug.ru/companies/324290702
Центр Новых Технологий Управления,,set(),set(),,,https://moikrug.ru/companies/324337816
Уралхимпласт,,set(),set(),,,https://moikrug.ru/companies/324345554
MWDN,,set(),set(),,,https://moikrug.ru/companies/324432046
АН Магазин квартир,,set(),set(),,,https://moikrug.ru/companies/325288205
Национальный Центр Маркетинга и Конъюнктуры Цен,,set(),set(),,,https://moikrug.ru/companies/325649990
Исследовательский Центр имени М.В.Келдыша,,set(),set(),,,https://moikrug.ru/companies/325924603
Санг-Иркутск,,set(),set(),,,https://moikrug.ru/companies/326077064
Аис@,,set(),set(),,,https://moikrug.ru/companies/326168373
Центральный Институт Авиационного Моторостроения им. П.И. Баранова (ЦИАМ),,set(),set(),,,https://moikrug.ru/companies/326697302
Московский Жировой Комбинат,,set(),set(),,,https://moikrug.ru/companies/326755722
GMC Consulting,,set(),set(),,,https://moikrug.ru/companies/326779737
Альянс Плюс,,set(),set(),,,https://moikrug.ru/companies/326824119
Институт Лингвистических Исследований РАН (ИЛИ РАН),,set(),set(),,,https://moikrug.ru/companies/326853329
Сиблион,,set(),set(),,,https://moikrug.ru/companies/326896462
БизКор,,set(),set(),,,https://moikrug.ru/companies/326924004
Payoneer,,set(),set(),,,https://moikrug.ru/companies/326940657
Центр Высоких Технологий,htc-cs.ru,set(),{'office@htc-cs.com'},,,https://moikrug.ru/companies/327066638
Долгопрудненское научно-производственное предприятие (ДНПП),,set(),set(),,,https://moikrug.ru/companies/327161324
ANSystem.Com,,set(),set(),,,https://moikrug.ru/companies/327650764
Норильско-Таймырская энергетическая компания (НТЭК),,set(),set(),,,https://moikrug.ru/companies/327794840
