title,url,Телефон:,Email:,Facebook:,LinkedIn:,hhref
Global Rus Trade,globalrustrade.com,set(),"{'pvc@globalrustrade.com', 'psu@ic-cc.ru', 'info@globalrustrade.com', 'x22pvc@globalrustrade.com', 'ibi@globalrustrade.com', 'x22tea@globalrustrade.com', 'x22ibi@globalrustrade.com', 'x3einfo@globalrustrade.com', 'tea@globalrustrade.com', 'x22psu@ic-cc.ru'}",,,https://moikrug.ru/companies/glrstr
Konig Labs,koniglabs.ru,+79527970465,info.koniglabs@gmail.com,,,https://moikrug.ru/companies/koniglabs
Siberteam,siberteam.com,(3822) 94-12-56,job@siberteam.com,,,https://moikrug.ru/companies/siberteam
AGGO Group,aggo.ru,+7 (812) 389 34 34,i@aggo.ru,,,https://moikrug.ru/companies/aggogroup
Snappykit,snappykit.com,set(),{'hello@snappykit.com'},snappykit,,https://moikrug.ru/companies/snappykit
IBC Human Resources,hr.ibc.ru,8 (343) 311-12-33,hr@ibc.ru,,,https://moikrug.ru/companies/ibchr
1Win,1winuhkl.top,set(),set(),,,https://moikrug.ru/companies/1win
Surf,surfstudio.ru,+7 900 957 31 43,hr@surfstudio.ru,,,https://moikrug.ru/companies/surf
VlgDEV,,set(),set(),,,https://moikrug.ru/companies/2ad33d7a-3ee0-4ec9-af18-a6dcc559535e
СДЭК,cdek.ru,9607832104,d.latyshkova@cdek.ru,,,https://moikrug.ru/companies/cdek
Republic,republic.ru,+79161245605,b.svetlov@republic.ru,republic.ru,,https://moikrug.ru/companies/republic
Boft,boft.ru,set(),set(),,,https://moikrug.ru/companies/boft
Nexign,nexign-systems.com,+79213691658,job@billing.ru,,,https://moikrug.ru/companies/nexign
Коалиция,school-olymp.ru,set(),{'info@school-olymp.ru'},,,https://moikrug.ru/companies/86503deb-68cf-4362-b13a-578637c0c324
Carrot quest,carrotquest.io,+79197035312,kovaleva@carrotquest.io,,,https://moikrug.ru/companies/carrot-quest
Кадровое агентство Cloudberry,cloudberry.ru,8-926-088-25-36,info@cloudberry.ru,groups,,https://moikrug.ru/companies/cloud
Recyclene,,set(),set(),,,https://moikrug.ru/companies/e48fb9be-f478-4a9e-aa63-22185dd2bca0
Siberian.pro,siberian.pro,set(),"{'team@siberian.pro', 'info@siberian.pro'}",,,https://moikrug.ru/companies/siberianpro
ACME Crypto Corp,,+79867576157,cto@acmecryptocorp.io,,,https://moikrug.ru/companies/acmecryptocorp
Hotelinstinct,hotelinstinct.com,,job@hotelinstinct.com,,,https://moikrug.ru/companies/72362a04-6238-4f1d-a94c-b0efb84f9bc4
ГК Деньги Сразу,dengisrazy.ru,set(),set(),,,https://moikrug.ru/companies/dengisrazy
New Med Solutions,,set(),set(),,,https://moikrug.ru/companies/ibolit
PayMe,pay-me.ru,set(),{'info@pay-me.ru'},,,https://moikrug.ru/companies/payme
Ronte Limited,,set(),set(),,,https://moikrug.ru/companies/ronte
SIMDAQ,simdaq.com,,osmirnova@simdaq.com,simdaq,,https://moikrug.ru/companies/simdaq
