title,url,Телефон:,Email:,Facebook:,LinkedIn:,hhref
Naumen,naumen.ru,+7 (495) 783–02–87,job@naumen.ru,rabotanaumen,,https://moikrug.ru/companies/nau-men
Soft Media Int.,zorge.org,set(),set(),,,https://moikrug.ru/companies/softmedia
ОКБ Авиарешения,skyf.pro,set(),{'info@ardntechnology.com'},,,https://moikrug.ru/companies/skyf
HiSmith,hismith.ru,set(),{'office@hismith.ru'},,,https://moikrug.ru/companies/c987233d-7b5a-4a9b-8d3e-df2cee44ea16
Evrone.com,jobs.evrone.com,+79267545323,oleg@evrone.ru,evrone,,https://moikrug.ru/companies/evrone
Pantini Inc.,,set(),set(),,,https://moikrug.ru/companies/pantini-inc
"Образовательный холдинг ""Синергия""",synergy.ru,+7 (926) 723-26-45,VAdamenko@moi.edu.ru,,,https://moikrug.ru/companies/synergy
GOAT digital,goat.digital,,hr@goat.digital,,,https://moikrug.ru/companies/goat
Клумба,vk.com/klumbaofficial,set(),set(),,,https://moikrug.ru/companies/klumba
Prosto.Insure,prosto.insure,+7 926 001-39-83,mail@prosto.insure,,,https://moikrug.ru/companies/prosto-insure
Actis Wunderman,actis.ru,set(),{'info@actis.ru'},,,https://moikrug.ru/companies/actiswunderman
PFL Advisors,pfladvisors.com,set(),{'team@pfladvisors.com'},,,https://moikrug.ru/companies/pfladvisors
Маркет Плато,mpoffice.ru,+79219322918,ao.vahraneva@mpoffice.ru,,,https://moikrug.ru/companies/mpoffice
АйТи-Проект,,set(),set(),,,https://moikrug.ru/companies/it-project
"ООО ""Цитрум""",,set(),set(),,,https://moikrug.ru/companies/b784ed85-73d2-4259-98c8-8a37ca078656
Vostok projects,,set(),set(),,,https://moikrug.ru/companies/vostokprojects
Spice IT Recruitment,spice-agency.ru,+7 (495) 966 08 89,hello@spice-agency.ru,,,https://moikrug.ru/companies/spice-agency
Studio Mobile,studiomobile.ru,set(),set(),,,https://moikrug.ru/companies/studio-mobile
YOPS LTD,,set(),set(),,,https://moikrug.ru/companies/yops
Max.Credit,max.credit,8-800-555-95-32,hello@max.credit,,,https://moikrug.ru/companies/maxcredit
Blockchair,blockchair.com,,careers@blockchair.com,,,https://moikrug.ru/companies/blockchair
Онлайн-кинотеатр ivi,ivi.ru,+7(495)276-06-31,hr@ivi.ru,,,https://moikrug.ru/companies/ivi
ЭЛКОД,,+74952343661,resume@elcode.ru,,,https://moikrug.ru/companies/elcode
Veeam Software,veeam.com,+7 812 611 00 35,ksenia.kudryashova@veeam.com,VeeamTeam,,https://moikrug.ru/companies/veeam
Flowwow.com,flowwow.com,set(),set(),,,https://moikrug.ru/companies/flowwow
