title,url,Телефон:,Email:,Facebook:,LinkedIn:,hhref
ТТК-Интелби,,set(),set(),,,https://moikrug.ru/companies/468080168
ВебВойс,,set(),set(),,,https://moikrug.ru/companies/468374583
Мануфактура,factory.mn,+7 (473) 250-92-99,info@factory.mn,,,https://moikrug.ru/companies/manufactura
ИнтрастБанк,,set(),set(),,,https://moikrug.ru/companies/468776808
"ЕАДС ""Возим Про""",,set(),set(),,,https://moikrug.ru/companies/468939133
Шпиль,,set(),set(),,,https://moikrug.ru/companies/469255891
Адвокатский кабинет Аверьяновой Ю.С.,,set(),set(),,,https://moikrug.ru/companies/469607095
Институт вычислительного моделирования СО РАН (ИВМ),,set(),set(),,,https://moikrug.ru/companies/469779091
Выстрел,,set(),set(),,,https://moikrug.ru/companies/469808757
ФТО,fto.com.ru,set(),"{'hr2@fto.com.ru', 'friz@fto.com.ru', 'info@fto.com.ru'}",,,https://moikrug.ru/companies/fto
РА Рекландия,,set(),set(),,,https://moikrug.ru/companies/470042969
Axmor Software,axmor.ru,,hr@axmor.com,,,https://moikrug.ru/companies/axmor
Hosting Community,,set(),set(),,,https://moikrug.ru/companies/470205900
Уралгеоинформ,,set(),set(),,,https://moikrug.ru/companies/470403844
Softdev Spb,,set(),set(),,,https://moikrug.ru/companies/470596137
Блогун,,set(),set(),,,https://moikrug.ru/companies/470916993
ЮКОЛА-ИНФО,,set(),set(),,,https://moikrug.ru/companies/471074764
East Telecom,,set(),set(),,,https://moikrug.ru/companies/471207423
ICL - КПО ВС,,set(),set(),,,https://moikrug.ru/companies/471357039
ИТРИУМ,,set(),set(),,,https://moikrug.ru/companies/471942492
Francesco Donni,,set(),set(),,,https://moikrug.ru/companies/472335385
Борисовский завод Автогидроусилитель,,set(),set(),,,https://moikrug.ru/companies/472344148
CB Richard Ellis/ Noble Gibbons,,set(),set(),,,https://moikrug.ru/companies/472353480
Доча-Аромат,,set(),set(),,,https://moikrug.ru/companies/472487279
Утгоф и К,,set(),set(),,,https://moikrug.ru/companies/473432354
