title,url,Телефон:,Email:,Facebook:,LinkedIn:,hhref
Topmark,,set(),set(),,,https://moikrug.ru/companies/465089518
Новоростехфлот,,set(),set(),,,https://moikrug.ru/companies/465144487
Конструкторское бюро автоматических линий им. Л.Н. Кошкина (КБАЛ),,set(),set(),,,https://moikrug.ru/companies/465447928
Альянс-ТеплоЭффект,,set(),set(),,,https://moikrug.ru/companies/465478354
Молодая Гвардия-Единая Россия,,set(),set(),,,https://moikrug.ru/companies/465586620
Mondo ODC Ukraine,,set(),set(),,,https://moikrug.ru/companies/465635517
Реклама Онлайн,,set(),set(),,,https://moikrug.ru/companies/465822537
Седьмое небо,,set(),set(),,,https://moikrug.ru/companies/465940591
ЭниКом,,set(),set(),,,https://moikrug.ru/companies/466021241
Волынский национальный университет им. Леси Украинки (ВНУ),,set(),set(),,,https://moikrug.ru/companies/466620274
Калмыцкий Государственный Университет (КГУ),,set(),set(),,,https://moikrug.ru/companies/466934111
Дизайн-студия Tadatuta,,set(),set(),,,https://moikrug.ru/companies/466990446
Unitecsys,,set(),set(),,,https://moikrug.ru/companies/467253790
ТиО-2,,set(),set(),,,https://moikrug.ru/companies/467473208
Цифровые технологии,,set(),set(),,,https://moikrug.ru/companies/467720164
Logo-Go!,,set(),set(),,,https://moikrug.ru/companies/467902936
ТТК-Интелби,,set(),set(),,,https://moikrug.ru/companies/468080168
ВебВойс,,set(),set(),,,https://moikrug.ru/companies/468374583
Мануфактура,factory.mn,+7 (473) 250-92-99,info@factory.mn,,,https://moikrug.ru/companies/manufactura
ИнтрастБанк,,set(),set(),,,https://moikrug.ru/companies/468776808
"ЕАДС ""Возим Про""",,set(),set(),,,https://moikrug.ru/companies/468939133
Шпиль,,set(),set(),,,https://moikrug.ru/companies/469255891
Адвокатский кабинет Аверьяновой Ю.С.,,set(),set(),,,https://moikrug.ru/companies/469607095
Институт вычислительного моделирования СО РАН (ИВМ),,set(),set(),,,https://moikrug.ru/companies/469779091
Выстрел,,set(),set(),,,https://moikrug.ru/companies/469808757
