title,url,Телефон:,Email:,Facebook:,LinkedIn:,hhref
Aroma-Cleaning,aroma-cleaning.ru,set(),"{'info@aroma-cleaning.ru', 'Rating@Mail.ru'}",,,https://moikrug.ru/companies/aroma-cleaning
guru.taxi,guru.taxi,+79031190019,sz@guru.taxi,,,https://moikrug.ru/companies/gurutaxi
ScaleLab,scalelab.ca,,contact@scalelab.ca,,,https://moikrug.ru/companies/scalelab
Santiment,santiment.net,set(),set(),,,https://moikrug.ru/companies/santiment
Yeniseimedia,yeniseimedia.com,set(),{'info@yeniseimedia.com'},,,https://moikrug.ru/companies/yeniseimedia
Новосибирская государственная архитектурно-художественная академия (НГАХА),,set(),set(),,,https://moikrug.ru/companies/167062802
МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ КЛУБ,,set(),set(),,,https://moikrug.ru/companies/167310025
Инжтехнология,,set(),set(),,,https://moikrug.ru/companies/167446630
ЦУП (Центр управления проектами),,set(),set(),,,https://moikrug.ru/companies/167701402
Mango Creative Agency,,set(),set(),,,https://moikrug.ru/companies/167825489
СТЕК,,set(),set(),,,https://moikrug.ru/companies/168155106
Концерн КАЛИНА,,set(),set(),,,https://moikrug.ru/companies/168721400
Сателлит-Сервис,,set(),set(),,,https://moikrug.ru/companies/168912366
Центр детского технического творчества (ЦДТТ) г. Невинномысска,,set(),set(),,,https://moikrug.ru/companies/168956257
Институт практической психологии и психоанализа (ИППиП),,set(),set(),,,https://moikrug.ru/companies/169000754
Авилон,,set(),set(),,,https://moikrug.ru/companies/169003675
The nineteen eighty eight,,set(),set(),,,https://moikrug.ru/companies/169030420
Электросвязь,,set(),set(),,,https://moikrug.ru/companies/169432645
13 этаж,,set(),set(),,,https://moikrug.ru/companies/169485301
Pirate Pay,,set(),set(),,,https://moikrug.ru/companies/169672169
Megalithos Group,,set(),set(),,,https://moikrug.ru/companies/169853688
РосДорБанк,,set(),set(),,,https://moikrug.ru/companies/170025267
Согласно Закону,,set(),set(),,,https://moikrug.ru/companies/170094120
Дайвзона,,set(),set(),,,https://moikrug.ru/companies/170106486
Палмали,,set(),set(),,,https://moikrug.ru/companies/170128983
