title,url,Телефон:,Email:,Facebook:,LinkedIn:,hhref
CODEFATHER,codefather.cc,set(),{'jobs@codefather.cc'},,,https://moikrug.ru/companies/codefathercc
Русский АвтоМотоКлуб,ruamc.ru,set(),"{'ruamc@ruamc.ru', 'mailtoMaria.Morozova@ruamc.ru', 'Maria.Morozova@ruamc.ru'}",,,https://moikrug.ru/companies/ruamc
Ninja Pizza,ninjapizza.ru,set(),{'murfey@mail.ru'},,,https://moikrug.ru/companies/ninjapizza
1,,set(),set(),,,https://moikrug.ru/companies/111
Акелон,akelon.com,+7 (495) 229-86-56,job@akelon.com,AkelonCompany,,https://moikrug.ru/companies/akelon
АЛЬТАИР,,set(),set(),,,https://moikrug.ru/companies/b7b3c66a-e90f-4a5c-9afb-c4ca160ea112
СЗ РЦАИ,szrcai.ru,,job@szrcai.ru,,,https://moikrug.ru/companies/szrcai
Газпром нефть,gazprom-neft.ru,set(),"{'info@gazprom-neft.ru', 'gazpromneft_prod@inf.ai', 'ir@gazprom-neft.ru', 'contact@eqs.com', 'personal@gazprom-neft.ru', 'shareholders@gazprom-neft.ru', 'etika@gazprom-neft.ru', 'pr@gazprom-neft.ru'}",,,https://moikrug.ru/companies/gazprom-neft
Bot M.D.,botmd.io,set(),"{'privacy@five.health', 'nprivacy@five.health', 'u003einfo@company.com'}",,,https://moikrug.ru/companies/botmd
BeGroup / BeSeed,beseed.ru,set(),set(),,,https://moikrug.ru/companies/beseed
Ключ,thekey.space,+74959559023,master@thekey.space,,,https://moikrug.ru/companies/thekey
USEND,usend.ru,+7 (495) 248-39-85,business@usend.ru,,,https://moikrug.ru/companies/usend
Thanky People,thanky.me,set(),set(),,,https://moikrug.ru/companies/thankypeople
"ООО ""Рельеф-Центр""",relefopt.ru,set(),set(),,,https://moikrug.ru/companies/relefopt
ООО ИРМАГ,irmag.ru,(3952) 478-656 доб.224,irmag2016@gmail.com,irmagirk,,https://moikrug.ru/companies/irmag
Positive Technologies,ptsecurity.ru,set(),set(),,,https://moikrug.ru/companies/ptsecurity
InStat,instatsport.com,,elena.yushchenko@instatsport.com,InStatSport,,https://moikrug.ru/companies/instat
Kernel Web,kerweb.ru,+79139439953,e@kerweb.ru,kernelweb,,https://moikrug.ru/companies/kernelweb
Home Credit Bank,homecredit.ru,set(),"{'MA_8@x.C', 'Rating@Mail.ru', 'lector@homecredit.ru', 'press@homecredit.ru'}",,,https://moikrug.ru/companies/hcb
Федеральная ювелирная сеть «585*Золотой»,zolotoy.ru,+79287525585,Romanova.Anastasiya@zolotoy.ru,,,https://moikrug.ru/companies/zolotoy
Endpass,endpass.com,set(),set(),,,https://moikrug.ru/companies/endpass
"ООО ""ЭКСПЕРТ-ФИНАНС""",dolg24.ru,set(),{'info@dolg24.ru'},,,https://moikrug.ru/companies/37a44350-9f4e-4821-85ef-c3819eb5b337
Программный регион,regium.com,+7 910 903 1041,hr@corp.regium.com,,,https://moikrug.ru/companies/regium
"Правовое бюро ""Олевинский, Буюкян и партнеры""",obplaw.ru,+7 (495) 609-66-66,info@obplaw.ru,obplaw.ru,,https://moikrug.ru/companies/obplaw
Thetta,web.thetta.io,set(),{'community@thetta.io'},,,https://moikrug.ru/companies/thetta-io
