title,url,Телефон:,Email:,Facebook:,LinkedIn:,hhref
Остров Сокровищ,ticlub.asia,set(),{'customer@ticlub.asia'},,,https://moikrug.ru/companies/ticlub-asia
Jivosite,jivosite.ru,+7 495 212 12 95,rt@jivosite.com,,,https://moikrug.ru/companies/jivosite
G-Plans,g-plans.com,set(),"{'img-0866@3x.png', 'layer-60@3x.png', 'iphone_screenshot@2x.png', 'khloe_kardashian@2x.png', 'user@2x.png', 'layer-1@3x.png', 'icons-8-new-post-96@2x.png', 'smart-object-screen-double-click-me@3x.png', 'layer-56@2x.png', 'architectural-design-architecture-ceiling-380768@2x.png', 'layer-53@2x.png', 'layer-2@2x.png', 'dm-32296@3x.png', 'layer-61@2x.png', 'layer-46@2x.png', 'img-0866@2x.png', 'img-0878@3x.png', 'standard-square-body@2x.png', 'standard-square-body@3x.png', 'user@3x.png', 'layer-62@2x.png', 'rounded-rectangle-2-copy-5@3x.png', 'khloe_kardashian@3x.png', 'smart-object-screen-double-click-me@2x.png', 'group-2@2x.png', 'img-0838@3x.png', 'img-0840@3x.png', 'layer-2@3x.png', 'img-0840@2x.png', 'header@3x.png', 'logo@2x.png', 'dm-32296@2x.png', 'logo@3x.png', 'layer-58@3x.png', 'layer-61@3x.png', 'alex@3x.png', 'happy-people@3x.png', 'layer-60@2x.png', 'layer-59@2x.png', 'layer-1@2x.png', 'rounded-rectangle-2-copy-5@2x.png', 'layer-45@3x.png', 'layer-57@3x.png', 'robbin@rpublicrelations.com', 'iphone_screenshot@3x.png', 'layer-58@2x.png', 'layer-45@2x.png', 'layer-46@3x.png', 'cody_horn@3x.png', 'cody_horn@2x.png', 'layer-38@3x.png', '_DM32279@2x.png', '_DM32279@3x.png', 'scale-icon-copy-2@2x.png', 'support@g-plans.com', 'img-0838@2x.png', 'layer-57@2x.png', 'alex@2x.png', 'architectural-design-architecture-ceiling-380768@3x.png', 'header@2x.png', 'group-2@3x.png', 'icons-8-new-post-96@3x.png', 'scale-icon-copy-2@3x.png', 'layer-38@2x.png', 'layer-62@3x.png', 'happy-people@2x.png', 'layer-56@3x.png', 'layer-59@3x.png', 'layer-53@3x.png', 'img-0878@2x.png'}",,,https://moikrug.ru/companies/g-plans
think-cell,think-cell.com,+49 30 666473-10,hr@think-cell.com,eatplusplus,think-cell,https://moikrug.ru/companies/think-cell
Relines,relines.ru,,service@relines.ru,,,https://moikrug.ru/companies/relines
Readymag,readymag.com,,diana@readymag.com,,,https://moikrug.ru/companies/readymag-hiring
Bounds,bounds.agency,+7 925 466-26-99,hello@bounds.agency,,,https://moikrug.ru/companies/bounds
Alar Studios,alarstudios.com,+38269202580,arni@alarstudios.com,,,https://moikrug.ru/companies/alarstudios
iTiPark,,set(),set(),,,https://moikrug.ru/companies/itparc
НОВАТЭК,novatek.ru,set(),"{'press@novatek.ru', 'ir@novatek.ru', 'novatek@novatek.ru'}",,,https://moikrug.ru/companies/nvtk
PROF-IT GROUP,prof-itgroup.ru; www.scorocode.ru,+7 (903) 005-90-95,ev.chelombieva@prof-itgroup.ru,,,https://moikrug.ru/companies/prof-itgroup
Direct Line - Россия,directlinedev.com,set(),"{'sgreenspan@directlinedev.com', 'office@directlinedev.com', 'george@directlinedev.com', 'justin@directlinedev.com', 'anna@directlinedev.com', 'max@directlinedev.com', 'aisaac@directlinedev.com', 'greg@directlinedev.com', 'oleg@directlinedev.com', 'alex@directlinedev.com'}",,,https://moikrug.ru/companies/directlinedev
UseTech Integration,usetech.ru,set(),{'info@usetech.ru'},,,https://moikrug.ru/companies/usetech
AB-CHAIN,ab-chain.com,,oshkin.antony@gmail.com,,,https://moikrug.ru/companies/ab-chain
Setka,setka.io,,asya.solntseva@lookatme.ru,,nativegrid,https://moikrug.ru/companies/setka
Сибирские сети,sibset.ru,+ 7 (923) 230 53 53,y.domke@sibset-team.ru,,,https://moikrug.ru/companies/sibset
Spotware Systems,spotware.com,set(),"{'partners@spotware.com', 'sales@spotware.com', 'support@spotware.com', 'hr@spotware.com'}",,,https://moikrug.ru/companies/spotware
Буферная бухта,lifehacker.ru,set(),set(),,,https://moikrug.ru/companies/lifehacker
Alpari,,set(),set(),,,https://moikrug.ru/companies/alpari
Medianation,medianation.ru,set(),{'hr@medianation.ru'},,,https://moikrug.ru/companies/medianation-
«Нетология-групп»,netology-group.ru,set(),set(),,,https://moikrug.ru/companies/netology-group
Крауд,kraud.ru,+7 (812) 372-69-88,info@kraud.ru,,,https://moikrug.ru/companies/kraud
Func.,func.ru,+7 812 748 25 96,hello@func.ru,funcspb,,https://moikrug.ru/companies/func
ГК ТехноПрогресс,tehnoprogress.ru,+7 (495) 411-94-36,asavina@tpcorp.ru,,,https://moikrug.ru/companies/tehnoprogress
Crystal Service Integration,crystals.ru,8 (800) 775-45-76,marketing@crystals.ru,crystals.ru,crystal-service,https://moikrug.ru/companies/csi
