title,url,Телефон:,Email:,Facebook:,LinkedIn:,hhref
Институт красоты Fijie,,set(),set(),,,https://moikrug.ru/companies/175361634
ГЛАВЛИЗИНГ,,set(),set(),,,https://moikrug.ru/companies/175442284
RYDLAB,rydlab.ru,+79068146133,company@rydlab.ru,,,https://moikrug.ru/companies/rydlab
Агентство Недвижимости ГОРОД,,set(),set(),,,https://moikrug.ru/companies/175694213
Хостинговые Телесистемы,,set(),set(),,,https://moikrug.ru/companies/175770196
HR4HR,,set(),set(),,,https://moikrug.ru/companies/175895723
Институт социальной реабилитации Новосибирского государственного технического университета (ИСР НГТУ),,set(),set(),,,https://moikrug.ru/companies/175914500
Уральский федеральный университет имени первого Президента России Б.Н. Ельцина,,set(),set(),,,https://moikrug.ru/companies/175923150
Нафтан,,set(),set(),,,https://moikrug.ru/companies/176110283
РСУ-103,,set(),set(),,,https://moikrug.ru/companies/176130161
SimpITy,simpity.by,+375173168497,job@simpity.by,,,https://moikrug.ru/companies/176493733
Национальный банк сбережений,,set(),set(),,,https://moikrug.ru/companies/176588912
РА Step Up Web,,set(),set(),,,https://moikrug.ru/companies/176751767
A.T. Kearney,,set(),set(),,,https://moikrug.ru/companies/177383157
Консалтинговое агентство Кадры,job71.ru,set(),set(),,,https://moikrug.ru/companies/178077901
Нестле,,set(),set(),,,https://moikrug.ru/companies/178085639
"ООО ""Кредит Кардс Онлайн""",,set(),set(),,,https://moikrug.ru/companies/178182375
"Агентство недвижимости ""Жилищная стратегия""",,set(),set(),,,https://moikrug.ru/companies/178523372
Стартап-Хирург Semenchuk.com,,set(),set(),,,https://moikrug.ru/companies/178552660
Узбекистон темир йуллари,,set(),set(),,,https://moikrug.ru/companies/179294820
Коломенский завод,,set(),set(),,,https://moikrug.ru/companies/179902616
Александровская больница,,set(),set(),,,https://moikrug.ru/companies/179971013
Шерлэнд,,set(),set(),,,https://moikrug.ru/companies/180029700
А-Энерджи Системс,,set(),set(),,,https://moikrug.ru/companies/180166646
Тамбовоблгаз,,set(),set(),,,https://moikrug.ru/companies/181166727
