title,url,Телефон:,Email:,Facebook:,LinkedIn:,hhref
FactoryMarket,factorymarket.com,set(),set(),,,https://moikrug.ru/companies/factorymatket
Staply,Staply.co,телеграмм @oeplatonova,op@staply.co,,,https://moikrug.ru/companies/staply
Kelly Services,kellyservices.ru,set(),set(),,,https://moikrug.ru/companies/kellyit
Транссеть,transset.ru,+7 961 639 40 41,dovgosheya_kp@transset.ru,pg,,https://moikrug.ru/companies/transset
BORK,bork.ru,set(),set(),,,https://moikrug.ru/companies/bork
Точка - банк для предпринимателей,tochka.com,,hr@tochka.com,bankTochka,,https://moikrug.ru/companies/banktochka
HTML Academy,htmlacademy.ru,,mail@htmlacademy.ru,htmlacademy,,https://moikrug.ru/companies/htmlacademy
YLab,ylab.io,+7(495)201-58-34,mail@ylab.io,,,https://moikrug.ru/companies/ylab
Smart Development Ltd,s-dev.io,+7(495) 644-22-54,Olga@s-dev.io,,,https://moikrug.ru/companies/s-dev
ПАО Сбербанк,,set(),set(),,,https://moikrug.ru/companies/sber
ИнЭкс,oooinex.ru,set(),set(),,,https://moikrug.ru/companies/inex
EducaGroup,educa.ru,set(),"{'support@cloudpayments.ru', 'support@educa.ru'}",,,https://moikrug.ru/companies/educa
JustWork,just-work.org,+7 926 097 4004,hr@just-work.org,justworkcompany,,https://moikrug.ru/companies/just-work
СКБ Контур,kontur.ru/career,set(),"{'vika_anufrieva91@mail.ru', 'brandbook@skbkontur.ru', 'chipileva.tanya@mail.ru', '1vadim.fattakhov@mail.ru', 'Ibiz@kontur.ru', 'kontur@kontur.ru', 'estet-studiya@mail.ru', 'help@skbkontur.ru', 'alfa-206@bk.ru', 'info@kontur.ru', 'oupru@list.ru', 'imf08@mail.ru', 'ooo_faps@e1.ru', 'ibiz@kontur.ru', 'issfilin@rambler.ru', 'info@laboratori-um.ru', '7sky-44@mail.ru', 'rabota@kontur.ru', 'sve-lysenko@yandex.ru', 'saharov-lev@yandex.ru', 'deti-tepldom@mail.ru', 'renatt249@list.ru', 'iosifarmani@yahoo.com', 'kontur-bonus@kontur.ru', 'info@mapigames.com', 'niyaz@reaspekt.ru', 'svetlana_turova@mail.ru'}",,,https://moikrug.ru/companies/skbkontur
4xxi,4xxi.com,+79046414387,es@4xxi.com,,,https://moikrug.ru/companies/4xxi
iSimpleLab,isimplelab.com,+7 495 646 86 25,info@isimplelab.com,iSimpleLab,,https://moikrug.ru/companies/isimplelab
AppFollow,appfollow.io,+7 965 1205540,hi@appfollow.io,AppFollow.io,,https://moikrug.ru/companies/appfollow
OpenSolutions LLC,osinit.com,set(),"{'sales@osinit.com', 'igor.bochkarev@osinit.com', 'alexandr.shuvalov@osinit.com', 'sergey.soloviev@osinit.com', 'rustam.davydov@osinit.com', 'info@osinit.com'}",,,https://moikrug.ru/companies/opensolutions
KUPIBILET.RU,kupibilet.ru,set(),"{'privet@kupibilet.ru', 'IOS_ListScreen@2x.007e18.png', 'IOS_HomeScreen@2x.22ec76.png'}",,,https://moikrug.ru/companies/kupibilet
Децентурион,decenturion.com,set(),"{'TOP100@DECENTURION.COM', 'COMMERCE@DECENTURION.COM', 'AMBASSADOR@DECENTURION.COM', 'MEDIA@DECENTURION.COM', 'SUPPORT@DECENTURION.COM'}",decenturionapp,,https://moikrug.ru/companies/decenturion
Лайки,likee.ru,+7 913 075 0666,tm@likee.ru,likee.ru,,https://moikrug.ru/companies/likee
"ООО ""Дайком Консалтинг""",dicoming.ru,89375223891,d.ivanov@dicoming.com,,,https://moikrug.ru/companies/0673a9a5-6f77-495a-ae47-159c90ce6013
IKIT Laboratory,ikitlab.com,+7 (495) 00-345-31,hello@ikitlab.com,,,https://moikrug.ru/companies/ikitlab
НТЦ ПРОТЕЙ,protei.ru,set(),set(),,,https://moikrug.ru/companies/proteii
Строительный Двор,sdvor.com,set(),{'897dac32cad2426ebd75e52e3fec7846@sentry.itlabs.io'},,,https://moikrug.ru/companies/sdvor
