title,url,Телефон:,Email:,Facebook:,LinkedIn:,hhref
"Институт внешнеэкономических связей, экономики и права (ИВЭСЭП)",,set(),set(),,,https://moikrug.ru/companies/261450920
Волгоградэнергосбыт,,set(),set(),,,https://moikrug.ru/companies/261497543
REHAU,,set(),set(),,,https://moikrug.ru/companies/261770599
Студия Мебельных Идей,,set(),set(),,,https://moikrug.ru/companies/261796814
ТуФингерс,twofingers.ru,+7 495 055 65 19,as@twofingers.ru,TwoFingersSol,,https://moikrug.ru/companies/261906939
PowerPact HR Consulting,,set(),set(),,,https://moikrug.ru/companies/261928978
ФОДсчастье жизни,,set(),set(),,,https://moikrug.ru/companies/261971505
lagundri.narod2.ru,,set(),set(),,,https://moikrug.ru/companies/262079734
EZSolutionS,ezs.co,+7 (495) 769-4467,ibaykov@ezs.co,ezs.co,,https://moikrug.ru/companies/ezs
Курортпроект,,set(),set(),,,https://moikrug.ru/companies/262412309
Ward Howell,,set(),set(),,,https://moikrug.ru/companies/262441519
"Юридическая компания ""ПРОФИЛЬ""",,set(),set(),,,https://moikrug.ru/companies/262468264
"ООО ""Прайнет""",,set(),set(),,,https://moikrug.ru/companies/262558930
Marketing Line,,set(),set(),,,https://moikrug.ru/companies/263346462
Дуглас Консалтинг,,set(),set(),,,https://moikrug.ru/companies/263684614
Инкотекс,,set(),set(),,,https://moikrug.ru/companies/263702709
Международные денежные переводы ЛИДЕР,leadermt.ru,set(),set(),,,https://moikrug.ru/companies/leadermt
KANZLER,,set(),set(),,,https://moikrug.ru/companies/263990828
S-Terra CSP,,set(),set(),,,https://moikrug.ru/companies/264032632
БЕРГ Холдинг,berg.ru,set(),"{'I.Vinogradov@berg.ru', 'I.Dushevskii@berg.ru', 'L.Ledovskaia@berg.ru', 'Y.Rozhkova@berg.ru', 'event@berg.ru', 'O.Babenko@berg.ru', 'berg@berg.ru', 'A.Shabanov@irk.berg.ru', 'webdev@berg.ru', 'E.Makarenko@berg.ru', 'M.Mulin@berg.ru', 'M.Gnetneva@berg.ru', 'Ivanov@gmail.com', 'new-supplier@berg.ru'}",,,https://moikrug.ru/companies/berg
Северная КОМПАНИЯ,,set(),set(),,,https://moikrug.ru/companies/264156830
ClubStars,,set(),set(),,,https://moikrug.ru/companies/264497868
X-Promo,,set(),set(),,,https://moikrug.ru/companies/264538875
ПРОСИСТЕМ,,set(),set(),,,https://moikrug.ru/companies/264592782
Альтернативная цифровая сеть,,set(),set(),,,https://moikrug.ru/companies/265087795
